räiđi rääiđi
rävŋi räävŋi
räägis rággá
räänis ráánnás
rääpis ráppá
räävis ráávvás
rääĐi rääđi
N _ räđđejeijee jiešvuotâ
sa'rves sarva
saJe saje
saRe sare
saaNjâ saanjâ
saaSâ saasâ
saaVâ saavâ
saahâ saaVâ
saaibâs saibâs
saalâs saallâs
saargâs sargâs
saarâs saarrâs
saarâs sarrâs
saaveeh saveheh
N _ saavzah irruu
saaŋaaš saaŋaa
sahe saVe
sahisvuotâ sahisvuođâ
saimâ saaimâ
saivâ saaivâ
sajadâh sajaduv
sajattâh sajattuv
salgâ saalgâ
salâttâh salâttuv
sarâstuh sarâstuv
savadâh savaduv
savjâ saavjâ
savo savvoon
savzâ saavzâ
savzâduh savzâduv
saŋkko sa'ŋko
seeLi sele
seeVi seevi
seegis siäg'gás
seeibuš seibuš
seevtil siäh'tál
seeŋâs seeŋ'ŋâs
seggi seegi
seibhâš seibháá
N _ seivâgist orroođ
sekkâ seehâ
selgi seelgi
septi seepti
servi seervi
